// Output Data File:
//
// FILENAME 2BusTestCase.out
//
// CASE FILENAME :
2BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              2	              1	              2	              1
// iMaxDay
       3
#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
    1	    GenCo1	       0.000000	      11.000000	       0.001000	      10.000000
    1	    GenCo2	       0.000000	      16.000000	       0.002000	      10.000000
    2	    GenCo1	       0.000000	      11.000000	       0.001000	      10.000000
    2	    GenCo2	       0.000000	      16.000000	       0.002000	      10.000000
    3	    GenCo1	       0.000000	      11.000000	       0.001000	      10.000000
    3	    GenCo2	       0.000000	      16.000000	       0.002000	      10.000000
#GeneratorSupplyOfferDataEnd

#GeneratorDAMDispatchDataStart
//  Day	 Hour	         GenCo1	         GenCo2
    1	    1	801.00	  0.00
    1	    2	801.00	  0.00
    1	    3	801.00	  0.00
    1	    4	801.00	  0.00
    1	    5	801.00	  0.00
    1	    6	801.00	  0.00
    1	    7	801.00	  0.00
    1	    8	801.00	  0.00
    1	    9	801.00	  0.00
    1	   10	801.00	  0.00
    1	   11	801.00	  0.00
    1	   12	801.00	  0.00
    1	   13	801.00	  0.00
    1	   14	801.00	  0.00
    1	   15	801.00	  0.00
    1	   16	801.00	  0.00
    1	   17	801.00	  0.00
    1	   18	801.00	  0.00
    1	   19	801.00	  0.00
    1	   20	801.00	  0.00
    1	   21	801.00	  0.00
    1	   22	801.00	  0.00
    1	   23	801.00	  0.00
    1	   24	801.00	  0.00
    2	    1	801.00	  0.00
    2	    2	801.00	  0.00
    2	    3	801.00	  0.00
    2	    4	801.00	  0.00
    2	    5	801.00	  0.00
    2	    6	801.00	  0.00
    2	    7	801.00	  0.00
    2	    8	801.00	  0.00
    2	    9	801.00	  0.00
    2	   10	801.00	  0.00
    2	   11	801.00	  0.00
    2	   12	801.00	  0.00
    2	   13	801.00	  0.00
    2	   14	801.00	  0.00
    2	   15	801.00	  0.00
    2	   16	801.00	  0.00
    2	   17	801.00	  0.00
    2	   18	801.00	  0.00
    2	   19	801.00	  0.00
    2	   20	801.00	  0.00
    2	   21	801.00	  0.00
    2	   22	801.00	  0.00
    2	   23	801.00	  0.00
    2	   24	801.00	  0.00
    3	    1	801.00	  0.00
    3	    2	801.00	  0.00
    3	    3	801.00	  0.00
    3	    4	801.00	  0.00
    3	    5	801.00	  0.00
    3	    6	801.00	  0.00
    3	    7	801.00	  0.00
    3	    8	801.00	  0.00
    3	    9	801.00	  0.00
    3	   10	801.00	  0.00
    3	   11	801.00	  0.00
    3	   12	801.00	  0.00
    3	   13	801.00	  0.00
    3	   14	801.00	  0.00
    3	   15	801.00	  0.00
    3	   16	801.00	  0.00
    3	   17	801.00	  0.00
    3	   18	801.00	  0.00
    3	   19	801.00	  0.00
    3	   20	801.00	  0.00
    3	   21	801.00	  0.00
    3	   22	801.00	  0.00
    3	   23	801.00	  0.00
    3	   24	801.00	  0.00
#GeneratorDAMDispatchDataEnd

#GeneratorRealTimeDispatchDataStart
// Hour	Interval	         GenCo1	         GenCo2
    1	    1	801.00	  0.00
    1	    2	801.00	  0.00
    1	    3	801.00	  0.00
    1	    4	801.00	  0.00
    1	    5	801.00	  0.00
    1	    6	801.00	  0.00
    1	    7	801.00	  0.00
    1	    8	801.00	  0.00
    1	    9	801.00	  0.00
    1	   10	801.00	  0.00
    1	   11	801.00	  0.00
    1	   12	801.00	  0.00
    2	    1	801.00	  0.00
    2	    2	801.00	  0.00
    2	    3	801.00	  0.00
    2	    4	801.00	  0.00
    2	    5	801.00	  0.00
    2	    6	801.00	  0.00
    2	    7	801.00	  0.00
    2	    8	801.00	  0.00
    2	    9	801.00	  0.00
    2	   10	801.00	  0.00
    2	   11	801.00	  0.00
    2	   12	801.00	  0.00
    3	    1	801.00	  0.00
    3	    2	801.00	  0.00
    3	    3	801.00	  0.00
    3	    4	801.00	  0.00
    3	    5	801.00	  0.00
    3	    6	801.00	  0.00
    3	    7	801.00	  0.00
    3	    8	801.00	  0.00
