INFO: fatal set by FNCS_FATAL env var
INFO: fncs::die() will not call exit()
DEBUG: broker = tcp://localhost:5570
DEBUG: time_delta string = 1s
DEBUG4: fncs::parse_time(string)
DEBUG4: fncs::time_unit_to_multiplier(string)
DEBUG: time_delta = 1000000000
DEBUG4: fncs::time_unit_to_multiplier(string)
DEBUG: time_delta_multiplier = 1000000000
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H0'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H1'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H10'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H11'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H12'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H13'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H14'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H15'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H16'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H17'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H18'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H19'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H2'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H20'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H21'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H22'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H23'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H3'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H4'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H5'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H6'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H7'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H8'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE1_H9'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE2_H0'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE2_H1'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE2_H10'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE2_H11'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE2_H12'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE2_H13'='1'
DEBUG2: initializing cache for 'loadforecastDAM_LSE2_H14'='1'
